date,score,review
2025.01.24.,2.0,"인파가 너무 많고, 정신없습니다. 체계가 없고 빵을 줄 서지 말고 집어가라고 하시는데 그것때문에 모든 사람들이 이리가려 저리가려하다  정체되어있습니다. 그리고 알아서 계산대에 줄을 서라는 것도 규칙이 없다고 느꼈습니다. 롯데백화점에 있는 성심당을 주로 가서 그런지 계속 비교하게 되더라고요. 롯백점에 비해 본점은 규칙도 없고 되게 협소하고, 빵 사다가 사람에 치여서 담은 빵은 다 상하더군요. 또, 직원분들도 인파때문에 짜증이나셨는지 그렇게 막 친절하다고 느끼지는 못했어요.. 직원분들 처우가 좋은지에 대해서도 다시금 생각해보게 되네요. 성심당이라는 인기와 명성에 맞게 고객들과 직원분들을 더 생각해주셨으면 좋겠습니다."
2025.01.24.,5.0,
2025.01.23.,5.0,또 가고 싶당
2025.01.22.,4.0,
2025.01.22.,5.0,대전에 가야 하는 이유가 되어버린~
2025.01.21.,5.0,
2025.01.21.,5.0,24.09.14
2025.01.20.,5.0,
2025.01.20.,3.0,줄이 길어도 너무 길어요
2025.01.17.,5.0,본점은 꿈도 못꿨는대 여기라면 갓심당!!!
2025.01.16.,5.0,
2025.01.15.,1.0,딸기시루 막내 사먹었는데 비싸기만하고 파바케이크보다 ㅂㄹ 맛없어요 줄이없어서 망정이였지…
2025.01.13.,5.0,
2025.01.11.,5.0,"튀김소보루들이랑 크루와상, 명란바게트 사갔는데 더 살걸 그랬어요ㅠㅠ 맛있고 얼려놨다가 에프돌려먹어도 변함이없어요!"
2025.01.11.,5.0,'딸기시루' 라는 표현이 딱입니다 ㅋ성심당 인기 비결은 착한 가격도 한몫하는것 같습니다 ^^
2025.01.11.,1.0,정성이 없는 공장같은 맛서울사람인데 진짜 노맛이에요웨이팅 없었는데 그래도 먹고나서 열받았어요부추빵은 선물 받아 먹었을때도 가서 바로 먹었을때도 왜 먹을때마다 상한 기분이에요?순우유크림빵이랑 고로케 정도만 괜찮고 빵이 뻑뻑해요다른빵들 튀소 튀소구마 동그란빵 뭐 눈맞은 어쩌고 신상빵 다 별로.. 딸기시루는 진짜 먹는데 맛이 너무 없어서 기분나빠요 딸기는 달지않고 크림은 느글느글하네요 딱딱한 브라우니와 조화도 아주 별로입니다 성심당 정신이 좋다고 해서 이미지 좋은데 찾아갈 정도 맛집 아닌거 같아요 맛이 없어요 가성비도 모르겠어요
2025.01.11.,5.0,명란바게트 작은메아리 초코튀소
