clean_review,sentiment
대전 용운 국제 수영장 대회 천안 성심당 본점 위치 상황 정오 주차장 주차 네이버 지도 검색 성심당 본점 골목 사람 성심당 웨이팅 정도 평소 성심당 상황 성심당 전국 유명 빵집 군산 이성당 전주 풍년제 남원 명문 제과 대구 빵집 목포 코롬방 마산 고려 천안 뚜쥬루 대전 성심당 정복 사람 고객 주차장 지도 안내 인파 입장 매장 사람 생각 가격 느낌 가성비 생각 주변 성심당 솜씨 카페 그로서리 구경 시간 무료 주차 사용 생각 대전 성심당 본점 방문기,"[['환영/호의', 0.6519662737846375], ['기대감', 0.8042608499526978], ['뿌듯함', 0.45599430799484253], ['신기함/관심', 0.4921516180038452], ['없음', 0.6633847951889038], ['즐거움/신남', 0.8412045836448669], ['행복', 0.5546903014183044], ['기쁨', 0.7252622246742249], ['안심/신뢰', 0.47652149200439453]]"
봉지 부띠끄 사람 비닐 주심 센스 메아리 대전 사람 다음 대전,"[['환영/호의', 0.7073864936828613], ['감동/감탄', 0.5957509279251099], ['기대감', 0.5063676238059998], ['뿌듯함', 0.45642799139022827], ['신기함/관심', 0.5514809489250183], ['없음', 0.45500555634498596], ['즐거움/신남', 0.7269203066825867], ['기쁨', 0.6081395149230957], ['안심/신뢰', 0.48232579231262207]]"
대전 여행 알파 오메가 성심당 본점 대전 시내 위치 기차 도보 거리 주차 주차장 주차장 주차 토요일 오후 사람 만큼 다양 성지 소리 정도 방문 점이 주차 가짓수 본점 케잌부띠끄 카페 시설 주변 밀집 이곳저곳 장점 보장 가격 유명 빵집 장점 대전 오기 방문 예정,"[['환영/호의', 0.8114428520202637], ['감동/감탄', 0.46929460763931274], ['기대감', 0.93607497215271], ['뿌듯함', 0.44971203804016113], ['신기함/관심', 0.5861115455627441], ['없음', 0.4097278118133545], ['즐거움/신남', 0.7817347049713135], ['행복', 0.46634602546691895], ['기쁨', 0.7157858610153198], ['안심/신뢰', 0.701636791229248]]"
평일 사람 가게 내부 통로 이동 불편 종류 실패 애플 브리 치즈 샌드위치 기대,"[['기대감', 0.8496021628379822], ['안타까움/실망', 0.5359388589859009]]"
대기 예상 메뉴 생각 추천 내부 이곳저곳,"[['환영/호의', 0.5734164714813232], ['기대감', 0.9325089454650879], ['신기함/관심', 0.6864686012268066], ['없음', 0.7746546268463135]]"
유명 대전 성심당 유명 평일 생각 평일 대기 내부 직원 정신 종류 생각 회전 상태 종류 유지 정도 계산 시간 일사불란 직원 녀석 유명 느낌 정도 완벽 종류 정도 따름 가격 느낌 동네 베이커리 간판 가격 창궐 반성,"[['불평/불만', 0.48172539472579956], ['환영/호의', 0.5604872703552246], ['기대감', 0.7845590114593506], ['신기함/관심', 0.49464550614356995], ['없음', 0.6010725498199463], ['안심/신뢰', 0.5007488131523132]]"
민호 베스트 베이커리 민호 가성비 베이커리 대전 정도 국내 유명 빵집 당일 당일 소진 원칙 가격 대비 최상 출력 가격 가격 생각 최근 성심당 베이커리 전국 개인 군산 성당 근본 생각 찰기 과장 사용 밀가루 성심당 인기 메뉴 아래 튀김 종류 고로케 종류 명란 바게트 순수 보문산 메아리 보름달 탁순희빵 토요빵 카카오 순정 키다리 트위스트 잠봉뵈르 부추빵 대전 기원 정체 유지 프랜차이즈 기부 취약 계층 활동 시간 지역 사회 공헌 온기 참고 사항 주차 불가 자차 방문 현대 주차장 공원 주차장 이용 망고 시루 케익 케익 부띠끄 웨이팅 시간 여유 방문,"[['환영/호의', 0.7191423177719116], ['감동/감탄', 0.43151870369911194], ['기대감', 0.7608057856559753], ['뿌듯함', 0.4033282399177551], ['신기함/관심', 0.46818190813064575], ['없음', 0.7568230628967285], ['즐거움/신남', 0.40330970287323], ['기쁨', 0.4687317907810211], ['안심/신뢰', 0.7259663343429565]]"
주말 방문 웨이팅 정도 소진 가게 내부 사람 혼잡 종류 다양 다음 방문,"[['환영/호의', 0.44877681136131287], ['기대감', 0.7081058621406555], ['신기함/관심', 0.4621192216873169], ['없음', 0.6839703321456909], ['즐거움/신남', 0.5084345936775208], ['안심/신뢰', 0.5028333067893982]]"
성심당 임산부 프리 패스 확인서 산모 수첩 덕분 바깥 입장 가격,"[['없음', 0.7614784240722656], ['안심/신뢰', 0.6129550933837891]]"
성심당 본점 테라스 키친 방문 금요일 오후 대기 시간 이상 전설 팥빙수 가격 추가,"[['기대감', 0.6461142301559448], ['없음', 0.838626503944397]]"
